title,artist,year,spotify_url
Thrift Shop (feat. Wanz),"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Wanz",2013,https://open.spotify.com/track/1CmUZGtH29Kx36C1Hleqlz
Dumb,The 411,2004,https://open.spotify.com/track/2OlqxtIOJ7qOmbVs5lp1Zp
Strange Clouds (feat. Lil Wayne),"B.o.B, Lil Wayne",2012,https://open.spotify.com/track/0yQw3d0iQDjMrxaVHFv77J
I Hate Everything About You,Three Days Grace,2003,https://open.spotify.com/track/0M955bMOoilikPXwKLYpoi
"thank u, next",Ariana Grande,2019,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
Blood,The Middle East,2009,https://open.spotify.com/track/5eeMft4YZx0Xdf9yJPNZJY
Cool for the Summer,Demi Lovato,2015,https://open.spotify.com/track/1KK0j3djUgx5tuOMwesdAT
Bad Girls,M.I.A.,2013,https://open.spotify.com/track/6iBaw0T7b3pTmMH1eMrul0
Mama Do The Hump,Rizzle Kicks,2011,https://open.spotify.com/track/1Buen1HzrkOrgW69mYnFqg
Warrior,Havana Brown,2013,https://open.spotify.com/track/3VSwARoclO0UXWWhsPkW2P
Hey Ya!,Outkast,2003,https://open.spotify.com/track/2PpruBYCo4H7WOBJ7Q2EwM
Try,P!nk,2012,https://open.spotify.com/track/1jF7IL57ayN4Ity3jQqGu0
Dangerous,"Kardinal Offishall, Akon",2008,https://open.spotify.com/track/4NOZ35Dhucr6UlVyLOtktd
Out of mind Out of sight,Models,2006,https://open.spotify.com/track/4XEVvgikMAHoWN5VafyLBp
OMG,"USHER, will.i.am",2010,https://open.spotify.com/track/3r04p85xiJh9Wqk59YDYdc
Day 'N' Nite (Nightmare),Kid Cudi,2009,https://open.spotify.com/track/60PAzFNW3vAiAiVK6DRJfB
Bad To The Bone,George Thorogood & The Destroyers,1982,https://open.spotify.com/track/6s0NHplywwr1IjnQpUpWJk
Gangnam Style (강남스타일),PSY,2012,https://open.spotify.com/track/03UrZgTINDqvnUMbbIMhql
Where Is The Love?,Black Eyed Peas,2007,https://open.spotify.com/track/5qtkvVNDdfCT7QAW726uvO
U Was At The Club (Bottoms Up),The Boyboy West Coast,2019,https://open.spotify.com/track/4CIMIZRcwllSonMlzr5wd2
Blessings,"Big Sean, Drake",2015,https://open.spotify.com/track/4E92bmgFiHxvy2SNjXjC3b
The Middle,"Zedd, Maren Morris, Grey",2018,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
Lift,Shannon Noll,2004,https://open.spotify.com/track/4v5JCbre7dpzBsmS4LUvtW
Happy Together,The Turtles,1967,https://open.spotify.com/track/1JO1xLtVc8mWhIoE3YaCL0
Who Can It Be Now?,Men At Work,1996,https://open.spotify.com/track/5cOM0fTHceCkJVwuyHdMnk
I've Got My Mind Set On You,James Ray,2007,https://open.spotify.com/track/0qPeLt28yVM4wScp8qt8xY
Fake Love,Drake,2017,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
Riptide,Vance Joy,2014,https://open.spotify.com/track/3JvrhDOgAt6p7K8mDyZwRd
Luxury,Azealia Banks,2014,https://open.spotify.com/track/7IzN1BfaQ8fmTHYPRPhNws
Post Malone (feat. RANI),"Sam Feldt, RANI",2019,https://open.spotify.com/track/36orMWv2PgvnzXsd5CJ0yL
Proud,Heather Small,2000,https://open.spotify.com/track/6mn15kWtqGdQtBYIx9L3Kc
Hard Times,Paramore,2017,https://open.spotify.com/track/0w5Bdu51Ka25Pf3hojsKHh
Live Louder,Nathaniel,2014,https://open.spotify.com/track/5KUh0UwMyjL3RHfNJbuD3q
Makes Me Wonder,Maroon 5,2007,https://open.spotify.com/track/1CetnEx843dN0s9fT0CMhc
Mi Gente,"J Balvin, Willy William",2017,https://open.spotify.com/track/6jNHpJIBFTJwl3bxWrGF6K
Marry You,Bruno Mars,2010,https://open.spotify.com/track/22PMfvdz35fFKYnJyMn077
Outside (feat. Ellie Goulding),"Calvin Harris, Ellie Goulding",2014,https://open.spotify.com/track/7MmG8p0F9N3C4AXdK6o6Eb
